dci,1,2,3,4,5,6,7,8
0,0,36.92,61.92,71.1,95.28,98.85,98.85,98.85
0.01,0,36.87,61.99,71.07,95.24,98.7,98.7,98.86
0.02,0,36.71,62.18,71.01,95.14,98.26,98.43,98.91
0.03,0,36.45,62.49,70.9,94.98,97.58,97.93,98.98
0.04,0,36.01,62.9,70.75,94.75,96.69,97.26,99.08
0.05,0,35.66,63.42,70.54,94.47,95.54,96.47,99.21
0.06,0,35.16,64.04,70.28,94.13,94.49,95.56,99.37
0.07,0,34.58,64.73,69.96,93.73,93.28,94.57,99.56
0.08,0,33.96,65.5,69.58,93.3,92.03,93.53,99.78
0.09,0,33.29,66.32,69.13,92.82,90.78,92.43,100.03
0.1,0,32.59,67.2,68.61,92.3,89.55,91.31,100.31
0.11,0,31.85,68.12,68,91.76,88.37,90.17,100.62
0.12,0,31.1,69.08,67.3,91.19,87.25,89.02,100.95
0.13,0,30.32,70.07,66.52,90.59,86.2,87.88,101.32
0.14,0,29.54,71.09,65.65,89.99,85.23,86.74,101.72
0.15,0,28.75,72.11,64.69,89.36,84.35,85.61,102.15
